slug,theorem,display_title,family,bounty_usd,bounty_alpha,bounty_available,attempts,tractability,defect_signs,ams,url,lean_type,formalized_task_id,counterexample_task_id
erdos1060-erdos-1060-parts-ii,Erdos1060.erdos_1060.parts.ii,Erdős problem 1060 - part ii,erdos,3809.84,6314.50112,True,0,3.5,asymptotic|existential,11,https://conjectures.io/problems/erdos1060-erdos-1060-parts-ii,"∃ C,
  (fun n => ↑{k ∈ Finset.Iic n | k * (ArithmeticFunction.sigma 1) k = n}.card) =O[Filter.atTop] fun n => Real.log ↑n ^ C",fc-8432eac9-parts-ii-7a61adacd6-formalized-v1,fc-8432eac9-parts-ii-982f0aa68a-counterexample-v1
erdos1192-erdos-1192,Erdos1192.erdos_1192,Erdős problem 1192,erdos,3809.84,6314.50112,True,0,3.5,nat_domain|asymptotic|bounded_finite_range|existential,5,https://conjectures.io/problems/erdos1192-erdos-1192,"True ↔
  ∀ r ≥ 2,
    ∃ A,
      (∀ᶠ (n : ℕ) in Filter.atTop, Erdos1192.f_r A r n > 0) ∧
        (fun x => ∑ n ∈ Finset.range (x + 1), ↑(Erdos1192.f_r A r n) ^ 2) =O[Filter.atTop] fun x => ↑x",fc-8432eac9-erdos1192-erdos-1192-abb86bc29e-formalized-v1,fc-8432eac9-erdos1192-erdos-1192-45df77c0d4-counterexample-v1
erdos137-erdos-137-variants-multiple-powerful-factors,Erdos137.erdos_137.variants.multiple_powerful_factors,Erdős problem 137 - multiple powerful factors,erdos,3809.84,6314.50112,True,0,3.5,nat_domain|asymptotic|bounded_finite_range|existential,11,https://conjectures.io/problems/erdos137-erdos-137-variants-multiple-powerful-factors,"∀ (k : ℕ),
  ∀ᶠ (n : ℕ) in Filter.atTop,
    ∀ (m : ℕ),
      0 < m →
        ∃ P,
          P.card = k ∧ ∀ p ∈ P, Nat.Prime p ∧ p ∣ ∏ x ∈ Finset.Icc m (m + n), x ∧ ¬p ^ 2 ∣ ∏ x ∈ Finset.Icc m (m + n), x",fc-8432eac9-variants-multiple-powerful-factors-a33d111789-formalized-v1,fc-8432eac9-variants-multiple-powerful-factors-c4c781f772-counterexample-v1
erdos172-erdos-172,Erdos172.erdos_172,Erdős problem 172,erdos,3809.84,6314.50112,True,0,3.5,nat_domain|existential,5,https://conjectures.io/problems/erdos172-erdos-172,"True ↔
  ∀ (n : ℕ) (color : ℕ → Fin n) (m : ℕ),
    ∃ A, A.card ≥ m ∧ ∃ c, ∀ (S : Finset ↥A), S.Nonempty → color (∑ x ∈ S, ↑x) = c ∧ color (∏ x ∈ S, ↑x) = c",fc-8432eac9-erdos172-erdos-172-4e7987396e-formalized-v1,fc-8432eac9-erdos172-erdos-172-53fd9447af-counterexample-v1
erdos274-herzog-schonheim,Erdos274.herzog_schonheim,Erdős problem 274 - herzog schonheim,erdos,3809.84,6314.50112,True,0,3.5,existential,20,https://conjectures.io/problems/erdos274-herzog-schonheim,"∀ {G : Type u_1} [inst : Group G],
  1 < ENat.card G →
    ∀ {ι : Type u_2} [inst_1 : Fintype ι],
      1 < Fintype.card ι →
        ∀ (P : Erdos274.Group.ExactCovering G ι), ∃ i j, i ≠ j ∧ (P.parts i).index = (P.parts j).index",fc-8432eac9-erdos274-herzog-schonheim-91bb5049dc-formalized-v1,fc-8432eac9-erdos274-herzog-schonheim-c112d622f9-counterexample-v1
erdos32-erdos-32,Erdos32.erdos_32,Erdős problem 32,erdos,3809.84,6314.50112,True,0,3.5,asymptotic|bounded_finite_range|existential,11,https://conjectures.io/problems/erdos32-erdos-32,"True ↔
  ∃ A,
    Erdos32.IsAdditiveComplementToPrimes A ∧
      (fun N => ↑{x ∈ Finset.Icc 1 N | x ∈ A}.card) =o[Filter.atTop] fun N => Real.log ↑N ^ 2",fc-8432eac9-erdos32-erdos-32-04a8be5bd3-formalized-v1,fc-8432eac9-erdos32-erdos-32-35e7d1eed1-counterexample-v1
erdos44-erdos-44,Erdos44.erdos_44,Erdős problem 44,erdos,3809.84,6314.50112,True,0,3.5,bounded_finite_range|existential,5|11,https://conjectures.io/problems/erdos44-erdos-44,"True ↔
  ∀ N ≥ 1,
    ∀ A ⊆ Finset.Icc 1 N,
      IsSidon ↑A → ∀ ε > 0, ∃ M > N, ∃ B ⊆ Finset.Icc (N + 1) M, IsSidon (↑A ∪ ↑B) ∧ (1 - ε) * √↑M ≤ ↑(A ∪ B).card",fc-8432eac9-erdos44-erdos-44-a1b39e96d8-formalized-v1,fc-8432eac9-erdos44-erdos-44-b00be68517-counterexample-v1
erdos617-erdos-617,Erdos617.erdos_617,Erdős problem 617,erdos,3809.84,6314.50112,True,0,3.5,existential,5,https://conjectures.io/problems/erdos617-erdos-617,"∀ r ≥ 3,
  ∀ {V : Type} [inst : Fintype V] [DecidableEq V],
    Fintype.card V = r ^ 2 + 1 →
      ∀ (coloring : Sym2 V → Fin r), ∃ S k, S.card = r + 1 ∧ ∀ u ∈ S, ∀ v ∈ S, u ≠ v → coloring s(u, v) ≠ k",fc-8432eac9-erdos617-erdos-617-0ce9973c4e-formalized-v1,fc-8432eac9-erdos617-erdos-617-7a0c0dd69b-counterexample-v1
erdos701-erdos-701,Erdos701.erdos_701,Erdős problem 701,erdos,3809.84,6314.50112,True,0,3.5,existential,5,https://conjectures.io/problems/erdos701-erdos-701,"True ↔
  ∀ {X : Type} [Nonempty X] [Fintype X] (F : Set (Set X)),
    IsLowerSet F → ∃ x, ∀ F' ⊆ F, F'.Intersecting → Cardinal.mk ↑F' ≤ Cardinal.mk ↑{A | A ∈ F ∧ x ∈ A}",fc-8432eac9-erdos701-erdos-701-6ac88783f2-formalized-v1,fc-8432eac9-erdos701-erdos-701-1b8b51cbfd-counterexample-v1
erdos779-erdos-779,Erdos779.erdos_779,Erdős problem 779,erdos,3809.84,6314.50112,True,0,3.5,nat_domain|bounded_finite_range|existential,11,https://conjectures.io/problems/erdos779-erdos-779,"∀ n ≥ 1,
  have P := ∏ i ∈ Finset.range (n + 1), Nat.nth Nat.Prime i;
  ∃ p, Nat.Prime p ∧ Nat.Prime (P + p) ∧ Nat.nth Nat.Prime n < p ∧ p < P",fc-8432eac9-erdos779-erdos-779-7f7a48dd7e-formalized-v1,fc-8432eac9-erdos779-erdos-779-87c9da68f3-counterexample-v1
erdos891-erdos-891,Erdos891.erdos_891,Erdős problem 891,erdos,3809.84,6314.50112,True,0,3.5,nat_domain|asymptotic|bounded_finite_range|existential,11,https://conjectures.io/problems/erdos891-erdos-891,"True ↔
  ∀ k ≥ 2,
    ∀ᶠ (n : ℕ) in Filter.atTop,
      ∃ m ∈ Finset.Ico n (n + ∏ i ∈ Finset.range k, Nat.nth Nat.Prime i), k < ArithmeticFunction.cardDistinctFactors m",fc-8432eac9-erdos891-erdos-891-f7c029a9da-formalized-v1,fc-8432eac9-erdos891-erdos-891-3c8c671a2c-counterexample-v1
erdos982-erdos-982,Erdos982.erdos_982,Erdős problem 982,erdos,3809.84,6314.50112,True,0,3.5,nat_domain|existential,52,https://conjectures.io/problems/erdos982-erdos-982,"∀ (n : ℕ),
  3 ≤ n →
    ∀ (p : Fin n → EuclideanSpace ℝ (Fin 2)),
      Function.Injective p →
        EuclideanGeometry.IsConvexPolygon p → ∃ i, {d | ∃ j, j ≠ i ∧ d = dist (p i) (p j)}.ncard ≥ n / 2",fc-8432eac9-erdos982-erdos-982-8b3c941365-formalized-v1,fc-8432eac9-erdos982-erdos-982-d87918ca8d-counterexample-v1
erdos99-erdos-99,Erdos99.erdos_99,Erdős problem 99,erdos,3809.84,6314.50112,True,0,3.5,nat_domain|asymptotic|existential,52,https://conjectures.io/problems/erdos99-erdos-99,"True ↔
  ∀ᶠ (n : ℕ) in Filter.atTop,
    ∀ (A : Finset (EuclideanSpace ℝ (Fin 2))),
      A.card = n →
        Erdos99.HasMinDist1 A →
          IsMinOn (fun B => Metric.diam ↑B) {B | B.card = n ∧ Erdos99.HasMinDist1 B} A →
            ∃ p ∈ A, ∃ q ∈ A, ∃ r ∈ A, Erdos99.FormsEquilateralTriangle p q r",fc-8432eac9-erdos99-erdos-99-d7cbeb1392-formalized-v1,fc-8432eac9-erdos99-erdos-99-ddd236eb23-counterexample-v1
green18-green-18,Green18.green_18,Green's open problem 18,greens-open-problems,3809.84,6314.50112,True,0,3.5,existential,5|11|20,https://conjectures.io/problems/green18-green-18,"True ↔
  ∀ α > 0,
    ∃ c > 0,
      ∃ m₀,
        ∀ (G : Type u_1) [inst : Group G] [inst_1 : Fintype G] [inst_2 : DecidableEq G] (A : Finset (G × G)),
          Fintype.card G ≥ m₀ →
            ↑A.card ≥ α * ↑(Fintype.card G) ^ 2 → ↑(Green18.numNaiveCorners A) ≥ c * ↑(Fintype.card G) ^ 3",fc-8432eac9-green18-green-18-4c527eac1c-formalized-v1,fc-8432eac9-green18-green-18-da46fe50de-counterexample-v1
green50-green-50,Green50.green_50,Green's open problem 50,greens-open-problems,3809.84,6314.50112,True,0,3.5,nat_domain|existential,5|11,https://conjectures.io/problems/green50-green-50,"True ↔
  ∃ C > 0,
    ∀ (n : ℕ) (A : Finset (𝔽₂ n)),
      A.Nonempty →
        have α := ↑A.dens;
        ∃ W v, v +ᵥ ↑W ⊆ ↑(10 • A) ∧ ↑n - C * Real.logb 2 (1 / α) ≤ ↑(Module.finrank (ZMod 2) ↥W)",fc-8432eac9-green50-green-50-cbd3416b3a-formalized-v1,fc-8432eac9-green50-green-50-e4dbba6ff6-counterexample-v1
green58-green-58,Green58.green_58,Green's open problem 58,greens-open-problems,3809.84,6314.50112,True,0,3.5,nat_domain|asymptotic|bounded_finite_range|existential,5|11,https://conjectures.io/problems/green58-green-58,"True ↔
  ∀ᶠ (N : ℕ) in Filter.atTop,
    ∀ A ⊆ Finset.Icc 1 N, ∀ B ⊆ Finset.Icc 1 N, ↑N ^ 0.49 ≤ ↑A.card → ↑N ^ 0.49 ≤ ↑B.card → ∃ m ∈ A + B, m.Composite",fc-8432eac9-green58-green-58-bf9df9f258-formalized-v1,fc-8432eac9-green58-green-58-0eb517d618-counterexample-v1
erdos1004-erdos-1004,Erdos1004.erdos_1004,Erdős problem 1004,erdos,3809.84,6314.50112,True,0,3.0,nat_domain|asymptotic|existential,11,https://conjectures.io/problems/erdos1004-erdos-1004,"True ↔ ∀ c > 0, ∀ᶠ (x : ℕ) in Filter.atTop, ∃ n ≤ x, Erdos1004.IsDistinctTotientRun n ⌊Real.log ↑x ^ c⌋₊",fc-8432eac9-erdos1004-erdos-1004-ffdaa1f71f-formalized-v1,fc-8432eac9-erdos1004-erdos-1004-94813e6c36-counterexample-v1
erdos11-erdos-11,Erdos11.erdos_11,Erdős problem 11,erdos,3809.84,6314.50112,True,0,3.0,nat_domain|existential,11,https://conjectures.io/problems/erdos11-erdos-11,"∀ (n : ℕ), Odd n → 1 < n → ∃ k l, Squarefree k ∧ n = k + 2 ^ l",fc-8432eac9-erdos11-erdos-11-8464cb7063-formalized-v1,fc-8432eac9-erdos11-erdos-11-4def85cfbc-counterexample-v1
erdos1106-erdos-1106-parts-ii,Erdos1106.erdos_1106.parts.ii,Erdős problem 1106 - part ii,erdos,3809.84,6314.50112,True,0,3.0,nat_domain|asymptotic|bounded_finite_range,11,https://conjectures.io/problems/erdos1106-erdos-1106-parts-ii,"True ↔ ∀ᶠ (n : ℕ) in Filter.atTop, (∏ i ∈ Finset.Icc 1 n, Erdos1106.p i).primeFactors.card > n",fc-8432eac9-parts-ii-b5402a4286-formalized-v1,fc-8432eac9-parts-ii-5a7082f40d-counterexample-v1
erdos233-erdos-233,Erdos233.erdos_233,Erdős problem 233,erdos,3809.84,6314.50112,True,0,3.0,asymptotic|bounded_finite_range,11,https://conjectures.io/problems/erdos233-erdos-233,"(fun N => ∑ n ∈ Finset.range N, ↑(primeGap n) ^ 2) =O[Filter.atTop] fun N => ↑N * Real.log ↑N ^ 2",fc-8432eac9-erdos233-erdos-233-2df835e0b6-formalized-v1,fc-8432eac9-erdos233-erdos-233-285db8b25c-counterexample-v1
erdos242-erdos-242-variants-schinzel-generalization,Erdos242.erdos_242.variants.schinzel_generalization,Erdős problem 242 - schinzel generalization,erdos,3809.84,6314.50112,True,0,3.0,nat_domain|asymptotic|existential,11,https://conjectures.io/problems/erdos242-erdos-242-variants-schinzel-generalization,"∀ (a : ℕ), 0 < a → ∀ᶠ (n : ℕ) in Filter.atTop, ∃ x y z, 1 ≤ x ∧ x < y ∧ y < z ∧ ↑a / ↑n = 1 / ↑x + 1 / ↑y + 1 / ↑z",fc-8432eac9-variants-schinzel-generalization-2a431e8038-formalized-v1,fc-8432eac9-variants-schinzel-generalization-1787ebde08-counterexample-v1
erdos269-erdos-269-variants-irrational,Erdos269.erdos_269.variants.irrational,Erdős problem 269 - irrational,erdos,3809.84,6314.50112,True,0,3.0,nat_domain,11,https://conjectures.io/problems/erdos269-erdos-269-variants-irrational,"True ↔ ∀ (P : Finset ℕ), (∀ p ∈ P, Nat.Prime p) → P.card ≥ 2 → Irrational (Erdos269.series ↑P)",fc-8432eac9-variants-irrational-39590f47c3-formalized-v1,fc-8432eac9-variants-irrational-1c3ca9f903-counterexample-v1
erdos3-erdos-3,Erdos3.erdos_3,Erdős problem 3,erdos,3809.84,6314.50112,True,0,3.0,summable|nat_domain|asymptotic|existential,11,https://conjectures.io/problems/erdos3-erdos-3,"True ↔ ∀ (A : Set ℕ), (¬Summable fun a => 1 / ↑↑a) → ∃ᶠ (k : ℕ) in Filter.atTop, ∃ S ⊆ A, S.IsAPOfLength ↑k",fc-8432eac9-erdos3-erdos-3-7e3ba376a4-formalized-v1,fc-8432eac9-erdos3-erdos-3-10c7c9967f-counterexample-v1
erdos340-erdos-340,Erdos340.erdos_340,Erdős problem 340,erdos,3809.84,6314.50112,True,0,3.0,asymptotic,5,https://conjectures.io/problems/erdos340-erdos-340,"∀ ε > 0, (fun n => √↑n / ↑n ^ ε) =O[Filter.atTop] fun n => ↑(Set.range Finset.greedySidon ∩ Set.Icc 1 n).ncard",fc-8432eac9-erdos340-erdos-340-d67931dd3f-formalized-v1,fc-8432eac9-erdos340-erdos-340-89d1d61792-counterexample-v1
erdos340-erdos-340-variants-sub-hasposdensity,Erdos340.erdos_340.variants.sub_hasPosDensity,Erdős problem 340 - sub has Pos Density,erdos,3809.84,6314.50112,True,0,3.0,,5,https://conjectures.io/problems/erdos340-erdos-340-variants-sub-hasposdensity,(Set.range Finset.greedySidon - Set.range Finset.greedySidon).HasPosDensity,fc-8432eac9-variants-sub-hasposdensity-a67ca314d4-formalized-v1,fc-8432eac9-variants-sub-hasposdensity-2eb17cb88a-counterexample-v1
erdos383-erdos-383,Erdos383.erdos_383,Erdős problem 383,erdos,3809.84,6314.50112,True,0,3.0,nat_domain|bounded_finite_range,11,https://conjectures.io/problems/erdos383-erdos-383,"True ↔ ∀ (k : ℕ), {p | Nat.Prime p ∧ (∏ i ∈ Finset.Icc 0 k, (p ^ 2 + i)).maxPrimeFac = p}.Infinite",fc-8432eac9-erdos383-erdos-383-19f5de633d-formalized-v1,fc-8432eac9-erdos383-erdos-383-c832461da4-counterexample-v1
erdos396-erdos-396,Erdos396.erdos_396,Erdős problem 396,erdos,3809.84,6314.50112,True,0,3.0,nat_domain|existential,11,https://conjectures.io/problems/erdos396-erdos-396,"True ↔ ∀ (k : ℕ), ∃ n, n.descFactorial (k + 1) ∣ n.centralBinom",fc-8432eac9-erdos396-erdos-396-3ad453b839-formalized-v1,fc-8432eac9-erdos396-erdos-396-8d6e1ca589-counterexample-v1
erdos677-erdos-677,Erdos677.erdos_677,Erdős problem 677,erdos,3809.84,6314.50112,True,0,3.0,nat_domain,11,https://conjectures.io/problems/erdos677-erdos-677,"∀ (m n k : ℕ), k > 0 → m ≥ n + k → Finset.lcmInterval m k ≠ Finset.lcmInterval n k",fc-8432eac9-erdos677-erdos-677-76ff90e091-formalized-v1,fc-8432eac9-erdos677-erdos-677-c378adf3c2-counterexample-v1
erdos680-erdos-680-parts-i,Erdos680.erdos_680.parts.i,Erdős problem 680 - part i,erdos,3809.84,6314.50112,True,0,3.0,nat_domain|asymptotic|existential,11,https://conjectures.io/problems/erdos680-erdos-680-parts-i,"True ↔ ∀ᶠ (n : ℕ) in Filter.atTop, ∃ k, k ≠ 0 ∧ (n + k).minFac > k ^ 2 + 1",fc-8432eac9-parts-i-1b2f35b7e5-formalized-v1,fc-8432eac9-parts-i-cbfbad15c5-counterexample-v1
erdos680-erdos-680-parts-ii,Erdos680.erdos_680.parts.ii,Erdős problem 680 - part ii,erdos,3809.84,6314.50112,True,0,3.0,nat_domain|asymptotic|existential,11,https://conjectures.io/problems/erdos680-erdos-680-parts-ii,"True ↔ ∀ ε > 0, ∃ C > 0, ¬∀ᶠ (n : ℕ) in Filter.atTop, ∃ k, k ≠ 0 ∧ ↑(n + k).minFac > Real.exp ((1 + ε) * √↑k) + C",fc-8432eac9-parts-ii-c86d370220-formalized-v1,fc-8432eac9-parts-ii-91fe080b4f-counterexample-v1
erdos699-erdos-699,Erdos699.erdos_699,Erdős problem 699,erdos,3809.84,6314.50112,True,0,3.0,nat_domain|existential,11,https://conjectures.io/problems/erdos699-erdos-699,"True ↔ ∀ (n i j : ℕ), 1 ≤ i → i < j → j ≤ n / 2 → ∃ p, Nat.Prime p ∧ i ≤ p ∧ p ∣ (n.choose i).gcd (n.choose j)",fc-8432eac9-erdos699-erdos-699-6cbf8d0b4b-formalized-v1,fc-8432eac9-erdos699-erdos-699-ee0608c704-counterexample-v1
erdos873-erdos-873,Erdos873.erdos_873,Erdős problem 873,erdos,3809.84,6314.50112,True,0,3.0,nat_domain|existential,11,https://conjectures.io/problems/erdos873-erdos-873,"True ↔ ∀ (a : ℕ → ℕ), ∀ ε > 0, 0 < a 0 → StrictMono a → ∃ k, ∀ X > 0, ↑↑(Erdos873.F a X k) < ↑(X ^ ε)",fc-8432eac9-erdos873-erdos-873-ce69190aed-formalized-v1,fc-8432eac9-erdos873-erdos-873-1395b88de3-counterexample-v1
erdos890-erdos-890-parts-a,Erdos890.erdos_890.parts.a,Erdős problem 890 - part a,erdos,3809.84,6314.50112,True,0,3.0,asymptotic|bounded_finite_range,11,https://conjectures.io/problems/erdos890-erdos-890-parts-a,"True ↔ ∀ k ≥ 1, Filter.liminf (fun n => ∑ i ∈ Finset.range k, ↑(Erdos890.omegaGt k (n + i))) Filter.atTop ≤ ↑k",fc-8432eac9-parts-a-797d976ea5-formalized-v1,fc-8432eac9-parts-a-5ff43c25fa-counterexample-v1
erdos985-erdos-985,Erdos985.erdos_985,Erdős problem 985,erdos,3809.84,6314.50112,True,0,3.0,nat_domain|existential,11,https://conjectures.io/problems/erdos985-erdos-985,"True ↔ ∀ (p : ℕ), Nat.Prime p → p ≠ 2 → ∃ q, Nat.Prime q ∧ q < p ∧ orderOf ↑q = p - 1",fc-8432eac9-erdos985-erdos-985-9b618cae4d-formalized-v1,fc-8432eac9-erdos985-erdos-985-c156c20563-counterexample-v1
erdos1068-erdos-1068,Erdos1068.erdos_1068,Erdős problem 1068,erdos,3809.84,6314.50112,True,0,2.5,graph|existential,5,https://conjectures.io/problems/erdos1068-erdos-1068,"True ↔
  ∀ (V : Type) (G : SimpleGraph V),
    G.chromaticCardinal = Cardinal.aleph 1 → ∃ s, s.Countable ∧ (SimpleGraph.induce s G).InfinitelyConnected",fc-8432eac9-erdos1068-erdos-1068-ae0ceb1b03-formalized-v1,fc-8432eac9-erdos1068-erdos-1068-ec19bd712f-counterexample-v1
erdos1073-erdos-1073,Erdos1073.erdos_1073,Erdős problem 1073,erdos,3809.84,6314.50112,True,0,2.5,nat_domain|asymptotic|existential,11,https://conjectures.io/problems/erdos1073-erdos-1073,"True ↔ ∃ o, o =o[Filter.atTop] 1 ∧ ∀ (x : ℕ), Erdos1073.A x ≤ ↑x ^ o x",fc-8432eac9-erdos1073-erdos-1073-5af0581a8b-formalized-v1,fc-8432eac9-erdos1073-erdos-1073-a064fc3f2d-counterexample-v1
erdos108-erdos-108,Erdos108.erdos_108,Erdős problem 108,erdos,3809.84,6314.50112,True,0,2.5,graph|existential,5,https://conjectures.io/problems/erdos108-erdos-108,"True ↔
  ∀ r ≥ 4,
    ∀ k ≥ 2,
      ∃ f,
        ∀ (V : Type u) (G : SimpleGraph V),
          Nonempty V → ↑f ≤ G.chromaticNumber → ∃ H, H.coe.girth ≥ r ∧ H.coe.chromaticNumber ≥ ↑k",fc-8432eac9-erdos108-erdos-108-1c42f1275e-formalized-v1,fc-8432eac9-erdos108-erdos-108-1c556adba6-counterexample-v1
erdos1095-erdos-1095-variants-lower-conjecture,Erdos1095.erdos_1095.variants.lower_conjecture,Erdős problem 1095 - lower conjecture,erdos,3809.84,6314.50112,True,0,2.5,nat_domain|asymptotic|existential,11,https://conjectures.io/problems/erdos1095-erdos-1095-variants-lower-conjecture,"∃ c > 0, ∀ᶠ (k : ℕ) in Filter.atTop, ↑(Erdos1095.g k) ≥ Real.exp (c * ↑k / Real.log ↑k)",fc-8432eac9-variants-lower-conjecture-28c7646ed5-formalized-v1,fc-8432eac9-variants-lower-conjecture-36008155f7-counterexample-v1
erdos1108-erdos-1108-parts-i,Erdos1108.erdos_1108.parts.i,Erdős problem 1108 - part i,erdos,3809.84,6314.50112,True,0,2.5,existential,11,https://conjectures.io/problems/erdos1108-erdos-1108-parts-i,"True ↔ ∀ k ≥ 2, {a | a ∈ Erdos1108.FactorialSums ∧ ∃ m, m ^ k = a}.Finite",fc-8432eac9-parts-i-81298dbfc4-formalized-v1,fc-8432eac9-parts-i-a3c2efe647-counterexample-v1
erdos1135-erdos-1135,Erdos1135.erdos_1135,Erdős problem 1135,erdos,3809.84,6314.50112,True,0,2.5,existential,11|37,https://conjectures.io/problems/erdos1135-erdos-1135,"∀ n > 0, ∃ m, CollatzConjecture.collatzStep^[m] n = 1",fc-8432eac9-erdos1135-erdos-1135-eee088b758-formalized-v1,fc-8432eac9-erdos1135-erdos-1135-6340349fdd-counterexample-v1
